ID;PLZ;RegSchl;Ort;Stand;Sortierung;Art
125957;"46242";"05512000";"Bottrop";"09.04.2020";null;6
125958;"46244";"05512000";"Bottrop";"09.04.2020";null;6
125975;"46282";"05562012";"Dorsten";"09.04.2020";null;6
125976;"46284";"05562012";"Dorsten";"09.04.2020";null;6
125977;"46286";"05562012";"Dorsten";"09.04.2020";null;6
125988;"46325";"05554012";"Borken";"09.04.2020";null;6
125992;"46342";"05554064";"Velen";"09.04.2020";null;6
125995;"46348";"05554040";"Raesfeld";"09.04.2020";null;6
125997;"46354";"05554060";"Südlohn";"09.04.2020";null;6
126000;"46359";"05554028";"Heiden";"09.04.2020";null;6
126019;"46395";"05554008";"Bocholt";"09.04.2020";null;6
126020;"46397";"05554008";"Bocholt";"09.04.2020";null;6
126021;"46399";"05554008";"Bocholt";"09.04.2020";null;6
126024;"46414";"05554048";"Rhede";"09.04.2020";null;6
126025;"46419";"05554032";"Isselburg";"09.04.2020";null;6
126040;"46446";"05154008";"Emmerich am Rhein";"09.04.2020";null;6
126044;"46459";"05154044";"Rees";"09.04.2020";null;6
126062;"46483";"05170048";"Wesel";"09.04.2020";null;6
126063;"46485";"05170048";"Wesel";"09.04.2020";null;6
126064;"46487";"05170048";"Wesel";"09.04.2020";null;6
126069;"46499";"05170012";"Hamminkeln";"09.04.2020";null;6
126073;"46509";"05170052";"Xanten";"09.04.2020";null;6
126076;"46514";"05170036";"Schermbeck";"09.04.2020";null;6
126079;"46519";"05170004";"Alpen";"09.04.2020";null;6
126088;"46535";"05170008";"Dinslaken";"09.04.2020";null;6
126089;"46537";"05170008";"Dinslaken";"09.04.2020";null;6
126090;"46539";"05170008";"Dinslaken";"09.04.2020";null;6
126099;"46562";"05170044";"Voerde (Niederrhein)";"09.04.2020";null;6
126103;"46569";"05170016";"Hünxe";"09.04.2020";null;6
126136;"47051";"05112000";"Duisburg";"09.04.2020";null;6
126137;"47053";"05112000";"Duisburg";"09.04.2020";null;6
126138;"47055";"05112000";"Duisburg";"09.04.2020";null;6
126139;"47057";"05112000";"Duisburg";"09.04.2020";null;6
