ID;Kurztext;Langtext;Gesprochen in;Beginn;Ende;geaendert
29;"cr";"Cree";"Kanada, USA";1900-01-01T00:00;null;
155;"cs";"Tschechisch";"Tschechien, angrenzende Länder (v.a. Slowakei), USA, Kanada, Westeuropa, Australien";1900-01-01T00:00;null;
157;"cv";"Tschuwaschisch";"Russland (Republiken Tschuwaschien und Tatarstan,  Baschkortostan, Kasachstan), Ukraine und Usbekistan";1900-01-01T00:00;null;
169;"cy";"Walisisch";"Wales, Chubut-Tal";1900-01-01T00:00;null;
30;"da";"Dänisch";"Dänemark, Grönland, Färöer, Island, Deutschland, Kanada, Norwegen, Schweden, USA";1900-01-01T00:00;null;
31;"de";"Deutsch ";null;1900-01-01T00:00;null;
32;"dv";"Dhivehi";"Malediven, Insel Minicoy (Indien)";1900-01-01T00:00;null;
33;"dz";"Dzongkha";"Bhutan, Nepal";1900-01-01T00:00;null;
36;"ee";"Ewe";"Ghana, Togo";1900-01-01T00:00;null;
46;"el";"Griechisch";"Griechenland, Zypern, Albanien, Türkei, Bulgarien, in isolierten Sprachinseln in Süditalien (Kalabrien und Apulien und überall, wo Griechen ausgewandert sind USA, Australien Deutschland usw.)";1900-01-01T00:00;null;
34;"en";"Englisch";"USA, Vereinigtes Königreich, Australien, Kanada, Südafrika, Indien, Pakistan und 98 weitere Länder";1900-01-01T00:00;null;
141;"es";"Spanisch (Kastilisch)";"Spanien, Mexiko, Kolumbien, Argentinien, Nicaragua, Chile, USA, Venezuela, Costa Rica, Kuba, Peru und 34 weitere Länder";1900-01-01T00:00;null;
35;"et";"Estnisch";"Estland";1900-01-01T00:00;null;
18;"eu";"Baskisch";"Spanien, Frankreich";1900-01-01T00:00;null;
114;"fa";"Persisch";"Iran, Afghanistan, Tadschikistan, Usbekistan, Bahrain, Pakistan, Indien, Irak, Europa, USA";1900-01-01T00:00;null;
42;"ff";"Fula";"Guinea, Guinea-Bissau, Senegal, Gambia, Mauretanien, Mali, Burkina Faso, Niger, Kamerun, Nigeria,Tschad, Sudan";1900-01-01T00:00;null;
39;"fi";"Finnisch";"Finnland, Estland, Schweden (Tornedalen), Norwegen (Finnmark), Russland (Karelien)";1900-01-01T00:00;null;
38;"fj";"Fidschi";"Fidschi Inseln";1900-01-01T00:00;null;
37;"fo";"Färöisch";"Färöer";1900-01-01T00:00;null;
40;"fr";"Französisch";"Frankreich, Kanada, Belgien, Schweiz und 50 weiteren Ländern";1900-01-01T00:00;null;
41;"fy";"Friesisch";"Deutschland, Niederlande";1900-01-01T00:00;null;
59;"ga";"Irisch";"Irland, vereinzelt Nordirland, wenige Emigranten oder Nachfahren in den USA, Kanada, Australien, Brasilien";1900-01-01T00:00;null;
127;"gd";"Schottisch (Gälisch)";"Schottland, Kanada (Nova Scotia)";1900-01-01T00:00;null;
43;"gl";"Galicisch";"Spanien";1900-01-01T00:00;null;
47;"gn";"Guaraní";"Paraguay, Argentinien, Bolivien, Brasilien";1900-01-01T00:00;null;
48;"gu";"Gujarati";"Indien, Saudi-Arabien, Vereinigte Arabische Emirate (VAE), Großbritannien,  USA sowie andere Länder";1900-01-01T00:00;null;
50;"ha";"Hausa";"Niger, Nigeria";1900-01-01T00:00;null;
51;"he";"Hebräisch";"Israel";1900-01-01T00:00;null;
53;"hi";"Hindi";"Indien";1900-01-01T00:00;null;
54;"ho";"Hiri Motu";"Papua-Neuguinea";1900-01-01T00:00;null;
83;"hr";"Kroatisch";"Kroatien und Teile von Bosnien und Herzegowina, Westeuropa";1900-01-01T00:00;null;
49;"ht";"Haitianisch";"Haiti";1900-01-01T00:00;null;
164;"hu";"Ungarisch";"Ungarn und Regionen von Rumänien; Slowakei, Ukraine, Serbien, Kroatien, Österreich, Slowenien";1900-01-01T00:00;null;
10;"hy";"Armenisch";"Republik Armenien, Iran, Diaspora";1900-01-01T00:00;null;
52;"hz";"Herero";"Namibia";1900-01-01T00:00;null;
56;"id";"Indonesisch";"Indonesien";1900-01-01T00:00;null;
55;"ig";"Ibo";"Nigeria";1900-01-01T00:00;null;
133;"ii";"Sichuanhua";"Volksrepublik China";1900-01-01T00:00;null;
58;"ik";"Inupiaq";"Alaska";1900-01-01T00:00;null;
62;"is";"Isländisch";"Island";1900-01-01T00:00;null;
63;"it";"Italienisch";"Italien und 29 weitere Länder";1900-01-01T00:00;null;
57;"iu";"Inuktitut";"Kanada, Grönland, Dänemark, Russland";1900-01-01T00:00;null;
64;"ja";"Japanisch";"Japan";1900-01-01T00:00;null;
65;"jv";"Javanisch";"Java";1900-01-01T00:00;null;
45;"ka";"Georgisch";"Georgien, Armenien, Aserbaidschan, Iran, Russland, Türkei";1900-01-01T00:00;null;
79;"kg";"Kongo/Kikongo";"Demokratische Republik Kongo";1900-01-01T00:00;null;
74;"ki";"Kikuyu";"Kenia";1900-01-01T00:00;null;
84;"kj";"Kuanyama";"Namibia";1900-01-01T00:00;null;
70;"kk";"Kasachisch";"Kasachstan, Usbekistan, Russland, Tadschikistan,  Volksrepublik China,  Mongolei, Iran,  Afghanistan, Türkei ";1900-01-01T00:00;null;
67;"kl";"Kalaallisut/Grönländisch";"Grönland";1900-01-01T00:00;null;
73;"km";"Khmer";"Kambodscha, Vietnam, Thailand";1900-01-01T00:00;null;
68;"kn";"Kannada/Kanaresisch";"Indien";1900-01-01T00:00;null;
80;"ko";"Koreanisch";"Nordkorea, Südkorea";1900-01-01T00:00;null;
