ID;PLZ;REGSCHL;ORT;STAND;Sortierung;ART
137114;"44879";"05911000";"Bochum";;null;6
137120;"44892";"05911000";"Bochum";;null;6
137121;"44894";"05911000";"Bochum";;null;6
137224;"45127";"05113000";"Essen";;null;6
137225;"45128";"05113000";"Essen";;null;6
137226;"45130";"05113000";"Essen";;null;6
137227;"45131";"05113000";"Essen";;null;6
137228;"45133";"05113000";"Essen";;null;6
137229;"45134";"05113000";"Essen";;null;6
137230;"45136";"05113000";"Essen";;null;6
137231;"45138";"05113000";"Essen";;null;6
137232;"45139";"05113000";"Essen";;null;6
137233;"45141";"05113000";"Essen";;null;6
137234;"45143";"05113000";"Essen";;null;6
137235;"45144";"05113000";"Essen";;null;6
137236;"45145";"05113000";"Essen";;null;6
137237;"45147";"05113000";"Essen";;null;6
137238;"45149";"05113000";"Essen";;null;6
137248;"45219";"05113000";"Essen";;null;6
137254;"45239";"05113000";"Essen";;null;6
137260;"45257";"05113000";"Essen";;null;6
137261;"45259";"05113000";"Essen";;null;6
137268;"45276";"05113000";"Essen";;null;6
137269;"45277";"05113000";"Essen";;null;6
137270;"45279";"05113000";"Essen";;null;6
137273;"45289";"05113000";"Essen";;null;6
137279;"45307";"05113000";"Essen";;null;6
137280;"45309";"05113000";"Essen";;null;6
137287;"45326";"05113000";"Essen";;null;6
137288;"45327";"05113000";"Essen";;null;6
137289;"45329";"05113000";"Essen";;null;6
137299;"45355";"05113000";"Essen";;null;6
137300;"45356";"05113000";"Essen";;null;6
137301;"45357";"05113000";"Essen";;null;6
137302;"45359";"05113000";"Essen";;null;6
137344;"45468";"05117000";"Mülheim an der Ruhr";;null;6
137345;"45470";"05117000";"Mülheim an der Ruhr";;null;6
137346;"45472";"05117000";"Mülheim an der Ruhr";;null;6
137347;"45473";"05117000";"Mülheim an der Ruhr";;null;6
137348;"45475";"05117000";"Mülheim an der Ruhr";;null;6
137349;"45476";"05117000";"Mülheim an der Ruhr";;null;6
137350;"45478";"05117000";"Mülheim an der Ruhr";;null;6
137351;"45479";"05117000";"Mülheim an der Ruhr";;null;6
137352;"45481";"05117000";"Mülheim an der Ruhr";;null;6
137362;"45525";"05954016";"Hattingen";;null;6
137363;"45527";"05954016";"Hattingen";;null;6
137364;"45529";"05954016";"Hattingen";;null;6
137371;"45549";"05954028";"Sprockhövel";;null;6
137402;"45657";"05562032";"Recklinghausen";;null;6
137403;"45659";"05562032";"Recklinghausen";;null;6
137404;"45661";"05562032";"Recklinghausen";;null;6
137405;"45663";"05562032";"Recklinghausen";;null;6
137406;"45665";"05562032";"Recklinghausen";;null;6
137423;"45699";"05562020";"Herten";;null;6
137424;"45701";"05562020";"Herten";;null;6
137429;"45711";"05562008";"Datteln";;null;6
137436;"45721";"05562016";"Haltern am See";;null;6
137442;"45731";"05562036";"Waltrop";;null;6
137446;"45739";"05562028";"Oer-Erkenschwick";;null;6
137464;"45768";"05562024";"Marl";;null;6
137465;"45770";"05562024";"Marl";;null;6
137466;"45772";"05562024";"Marl";;null;6
137517;"45879";"05513000";"Gelsenkirchen";;null;6
137518;"45881";"05513000";"Gelsenkirchen";;null;6
137519;"45883";"05513000";"Gelsenkirchen";;null;6
137520;"45884";"05513000";"Gelsenkirchen";;null;6
137521;"45886";"05513000";"Gelsenkirchen";;null;6
137522;"45888";"05513000";"Gelsenkirchen";;null;6
137523;"45889";"05513000";"Gelsenkirchen";;null;6
137524;"45891";"05513000";"Gelsenkirchen";;null;6
137525;"45892";"05513000";"Gelsenkirchen";;null;6
137526;"45894";"05513000";"Gelsenkirchen";;null;6
137527;"45896";"05513000";"Gelsenkirchen";;null;6
137528;"45897";"05513000";"Gelsenkirchen";;null;6
137529;"45899";"05513000";"Gelsenkirchen";;null;6
137538;"45964";"05562014";"Gladbeck";;null;6
137539;"45966";"05562014";"Gladbeck";;null;6
137540;"45968";"05562014";"Gladbeck";;null;6
137564;"46045";"05119000";"Oberhausen";;null;6
137565;"46047";"05119000";"Oberhausen";;null;6
137566;"46049";"05119000";"Oberhausen";;null;6
137571;"46117";"05119000";"Oberhausen";;null;6
137572;"46119";"05119000";"Oberhausen";;null;6
137583;"46145";"05119000";"Oberhausen";;null;6
137584;"46147";"05119000";"Oberhausen";;null;6
137585;"46149";"05119000";"Oberhausen";;null;6
137607;"46236";"05512000";"Bottrop";;null;6
137608;"46238";"05512000";"Bottrop";;null;6
137609;"46240";"05512000";"Bottrop";;null;6
137610;"46242";"05512000";"Bottrop";;null;6
137611;"46244";"05512000";"Bottrop";;null;6
137627;"46282";"05562012";"Dorsten";;null;6
137628;"46284";"05562012";"Dorsten";;null;6
137629;"46286";"05562012";"Dorsten";;null;6
137640;"46325";"05554012";"Borken";;null;6
137644;"46342";"05554064";"Velen";;null;6
137647;"46348";"05554040";"Raesfeld";;null;6
137649;"46354";"05554060";"Südlohn";;null;6
137652;"46359";"05554028";"Heiden";;null;6
137671;"46395";"05554008";"Bocholt";;null;6
137672;"46397";"05554008";"Bocholt";;null;6
137673;"46399";"05554008";"Bocholt";;null;6
137676;"46414";"05554048";"Rhede";;null;6
137677;"46419";"05554032";"Isselburg";;null;6
137692;"46446";"05154008";"Emmerich am Rhein";;null;6
137696;"46459";"05154044";"Rees";;null;6
137714;"46483";"05170048";"Wesel";;null;6
137715;"46485";"05170048";"Wesel";;null;6
137716;"46487";"05170048";"Wesel";;null;6
137721;"46499";"05170012";"Hamminkeln";;null;6
137725;"46509";"05170052";"Xanten";;null;6
137728;"46514";"05170036";"Schermbeck";;null;6
137731;"46519";"05170004";"Alpen";;null;6
137740;"46535";"05170008";"Dinslaken";;null;6
137741;"46537";"05170008";"Dinslaken";;null;6
137742;"46539";"05170008";"Dinslaken";;null;6
137751;"46562";"05170044";"Voerde (Niederrhein)";;null;6
137754;"46569";"05170016";"Hünxe";;null;6
137787;"47051";"05112000";"Duisburg";;null;6
137788;"47053";"05112000";"Duisburg";;null;6
137789;"47055";"05112000";"Duisburg";;null;6
137790;"47057";"05112000";"Duisburg";;null;6
137791;"47058";"05112000";"Duisburg";;null;6
137792;"47059";"05112000";"Duisburg";;null;6
137803;"47119";"05112000";"Duisburg";;null;6
137813;"47137";"05112000";"Duisburg";;null;6
137814;"47138";"05112000";"Duisburg";;null;6
137815;"47139";"05112000";"Duisburg";;null;6
137827;"47166";"05112000";"Duisburg";;null;6
137828;"47167";"05112000";"Duisburg";;null;6
137829;"47169";"05112000";"Duisburg";;null;6
137833;"47178";"05112000";"Duisburg";;null;6
137834;"47179";"05112000";"Duisburg";;null;6
137842;"47198";"05112000";"Duisburg";;null;6
137843;"47199";"05112000";"Duisburg";;null;6
137851;"47226";"05112000";"Duisburg";;null;6
137852;"47228";"05112000";"Duisburg";;null;6
137853;"47229";"05112000";"Duisburg";;null;6
137857;"47239";"05112000";"Duisburg";;null;6
137859;"47249";"05112000";"Duisburg";;null;6
137863;"47259";"05112000";"Duisburg";;null;6
137866;"47269";"05112000";"Duisburg";;null;6
137867;"47279";"05112000";"Duisburg";;null;6
137898;"47441";"05170024";"Moers";;null;6
137899;"47443";"05170024";"Moers";;null;6
137900;"47445";"05170024";"Moers";;null;6
137901;"47447";"05170024";"Moers";;null;6
137911;"47475";"05170020";"Kamp-Lintfort";;null;6
137919;"47495";"05170032";"Rheinberg";;null;6
137927;"47506";"05170028";"Neukirchen-Vluyn";;null;6
137929;"47509";"05154048";"Rheurdt";;null;6
137941;"47533";"05154036";"Kleve";;null;6
137942;"47546";"05154024";"Kalkar";;null;6
