ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
12658;"32602";"05758036";"Vlotho";"Vlotho";
9330;"32609";"05770016";"Hüllhorst";"Ahlsen-Reineberg";
9331;"32609";"05770016";"Hüllhorst";"Bröderhausen";
9325;"32609";"05770016";"Hüllhorst";"Büttendorf";
9332;"32609";"05770016";"Hüllhorst";"Holsen";
9326;"32609";"05770016";"Hüllhorst";"Hüllhorst";
9327;"32609";"05770016";"Hüllhorst";"Oberbauerschaft";
9328;"32609";"05770016";"Hüllhorst";"Schnathorst";
9329;"32609";"05770016";"Hüllhorst";"Tengern";
10076;"32657";"05766044";"Lemgo";"Brake";
10090;"32657";"05766044";"Lemgo";"Brüntorf";
10077;"32657";"05766044";"Lemgo";"Entrup";
10092;"32657";"05766044";"Lemgo";"Gem Kalletal";
10078;"32657";"05766044";"Lemgo";"Hörstmar";
10093;"32657";"05766044";"Lemgo";"Kirchheide";
10080;"32657";"05766044";"Lemgo";"Leese";
10081;"32657";"05766044";"Lemgo";"Lemgo";
10082;"32657";"05766044";"Lemgo";"Lieme";
10083;"32657";"05766044";"Lemgo";"Luherheide";
10084;"32657";"05766044";"Lemgo";"Lüerdissen";
10079;"32657";"05766044";"Lemgo";"Matorf-Kirchheide";
10091;"32657";"05766044";"Lemgo";"Trophagen";
10085;"32657";"05766044";"Lemgo";"Voßheide";
10086;"32657";"05766044";"Lemgo";"Wahmbeck";
10087;"32657";"05766044";"Lemgo";"Wahmbeckerheide";
10089;"32657";"05766044";"Lemgo";"Welstorf";
10088;"32657";"05766044";"Lemgo";"Wiembeck";
10347;"32676";"05766052";"Lügde";"Elbrinxen";
10348;"32676";"05766052";"Lügde";"Falkenhagen";
10349;"32676";"05766052";"Lügde";"Hummersen";
10350;"32676";"05766052";"Lügde";"Köterberg";
10351;"32676";"05766052";"Lügde";"Lügde";
10352;"32676";"05766052";"Lügde";"Niese";
10353;"32676";"05766052";"Lügde";"Rischenau";
10354;"32676";"05766052";"Lügde";"Sabbenhausen";
10355;"32676";"05766052";"Lügde";"Wörderfeld";
6980;"32683";"05766012";"Barntrup";"Alverdissen";
6981;"32683";"05766012";"Barntrup";"Barntrup";
6982;"32683";"05766012";"Barntrup";"Selbeck";
6983;"32683";"05766012";"Barntrup";"Sommersell";
6984;"32683";"05766012";"Barntrup";"Sonneborn";
9543;"32689";"05766036";"Kalletal";"Asendorf";
9544;"32689";"05766036";"Kalletal";"Bavenhausen";
9545;"32689";"05766036";"Kalletal";"Bentorf";
9546;"32689";"05766036";"Kalletal";"Brosen";
9547;"32689";"05766036";"Kalletal";"Erder";
9548;"32689";"05766036";"Kalletal";"Harkemissen";
9549;"32689";"05766036";"Kalletal";"Heidelbeck";
9550;"32689";"05766036";"Kalletal";"Henstorf";
9551;"32689";"05766036";"Kalletal";"Hohenhausen";
9552;"32689";"05766036";"Kalletal";"Kalldorf";
9553;"32689";"05766036";"Kalletal";"Langenholzhausen";
9554;"32689";"05766036";"Kalletal";"Lüdenhausen";
9555;"32689";"05766036";"Kalletal";"Osterhagen";
9556;"32689";"05766036";"Kalletal";"Stemmen";
9557;"32689";"05766036";"Kalletal";"Talle";
9558;"32689";"05766036";"Kalletal";"Varenholz";
9559;"32689";"05766036";"Kalletal";"Westorf";
7612;"32694";"05766024";"Dörentrup";"Bega";
7613;"32694";"05766024";"Dörentrup";"Hillentrup";
7614;"32694";"05766024";"Dörentrup";"Humfeld";
7615;"32694";"05766024";"Dörentrup";"Schwelentrup";
7616;"32694";"05766024";"Dörentrup";"Wendlinghausen";
8478;"32699";"05766028";"Extertal";"Almena";
8479;"32699";"05766028";"Extertal";"Asmissen";
8481;"32699";"05766028";"Extertal";"Bremke";
8480;"32699";"05766028";"Extertal";"Bösingfeld";
8482;"32699";"05766028";"Extertal";"Göstrup";
8483;"32699";"05766028";"Extertal";"Kükenbruch";
8484;"32699";"05766028";"Extertal";"Laßbruch";
8485;"32699";"05766028";"Extertal";"Meierberg";
8486;"32699";"05766028";"Extertal";"Nalhof";
8487;"32699";"05766028";"Extertal";"Rott";
8488;"32699";"05766028";"Extertal";"Schönhagen";
8489;"32699";"05766028";"Extertal";"Silixen";
7577;"32756";"05766020";"Detmold";"Heiligenkirchen";
7579;"32756";"05766020";"Detmold";"Hiddesen";
7582;"32756";"05766020";"Detmold";"Innenstadt";
7585;"32756";"05766020";"Detmold";"Jerxen-Orbke";
7570;"32758";"05766020";"Detmold";"Barkhausen";
7571;"32758";"05766020";"Detmold";"Bentrup-Loßbruch";
7573;"32758";"05766020";"Detmold";"Brokhausen";
7575;"32758";"05766020";"Detmold";"Hakedahl";
7576;"32758";"05766020";"Detmold";"Heidenoldendorf";
7583;"32758";"05766020";"Detmold";"Innenstadt";
7586;"32758";"05766020";"Detmold";"Jerxen-Orbke";
7587;"32758";"05766020";"Detmold";"Klüt";
7588;"32758";"05766020";"Detmold";"Mosebeck";
7590;"32758";"05766020";"Detmold";"Nienhagen";
7591;"32758";"05766020";"Detmold";"Niewald";
7593;"32758";"05766020";"Detmold";"Oettern-Bremke";
7594;"32758";"05766020";"Detmold";"Pivitsheide";
7598;"32758";"05766020";"Detmold";"Vahlhausen";
7572;"32760";"05766020";"Detmold";"Berlebeck";
7574;"32760";"05766020";"Detmold";"Diestelbruch";
7578;"32760";"05766020";"Detmold";"Heiligenkirchen";
7580;"32760";"05766020";"Detmold";"Hiddesen";
7581;"32760";"05766020";"Detmold";"Hornoldendorf";
7584;"32760";"05766020";"Detmold";"Innenstadt";
7589;"32760";"05766020";"Detmold";"Niederschönhagen";
7592;"32760";"05766020";"Detmold";"Oberschönhagen";
7595;"32760";"05766020";"Detmold";"Pivitsheide";
7600;"32760";"05766020";"Detmold";"Remmighausen";
7596;"32760";"05766020";"Detmold";"Schönemark";
7597;"32760";"05766020";"Detmold";"Spork-Eichholz";
7599;"32760";"05766020";"Detmold";"Vahlhausen";
10037;"32791";"05766040";"Lage";"Billinghausen";
10038;"32791";"05766040";"Lage";"Ehrentrup";
10040;"32791";"05766040";"Lage";"Hagen";
10041;"32791";"05766040";"Lage";"Hardissen";
10042;"32791";"05766040";"Lage";"Heiden";
10043;"32791";"05766040";"Lage";"Heßloh";
10039;"32791";"05766040";"Lage";"Hörste";
