Datum;Tabelle
"03.07.2009 11:21:22";"ZulJahrgänge_Kurzbez"
"03.07.2012 07:04:46";"Herkunftsschulform"
"03.08.2021 11:48:15";"Fachklasse"
"03.08.2022 13:21:12";"ZulJahrgänge"
"03.08.2022 14:07:12";"Schuelerverkehrssprache"
"03.09.2019 14:39:51";"Fachklasse"
"03.09.2020 13:43:04";"Fachklasse"
"03.11.2009 09:30:36";"Fachklasse"
"03.12.2008 09:10:03";"Fachklasse"
"03.12.2014 11:40:46";"Fachklasse"
"04.01.2021 15:33:48";"ZulFächer"
"04.02.2009 14:22:42";"Fachklasse"
"04.02.2009 14:24:11";"Gliederung"
"04.02.2009 14:24:20";"Gliederung"
"04.02.2009 14:24:37";"Gliederung"
"04.02.2009 14:26:11";"Gliederung"
"04.02.2009 14:27:15";"Gliederung"
"04.02.2009 14:27:35";"Gliederung"
"04.02.2009 14:34:52";"Gliederung"
"04.02.2009 14:38:55";"Fachklasse"
"04.02.2009 14:46:15";"Gliederung"
"04.02.2009 14:46:36";"Gliederung"
"04.02.2009 14:47:26";"Gliederung"
"04.02.2009 14:47:52";"Fachklasse"
"04.02.2009 14:48:06";"Gliederung"
"04.02.2009 14:48:31";"Gliederung"
"04.02.2009 14:49:54";"Gliederung"
"04.02.2009 14:51:01";"Gliederung"
"04.02.2009 14:52:35";"Gliederung"
"04.02.2015 11:18:08";"Fachklasse"
"04.02.2020 11:18:28";"Fachklasse"
"04.03.2009 12:19:09";"Abgangsart"
"04.03.2009 12:20:08";"Abgangsart"
"04.03.2009 12:20:31";"Abgangsart"
"04.03.2009 12:20:53";"Abgangsart"
"04.03.2009 12:20:57";"Abgangsart"
"04.03.2009 12:22:51";"Abgangsart"
"04.03.2009 12:23:01";"Abgangsart"
"04.03.2009 12:23:35";"Abgangsart"
"04.03.2009 12:23:55";"Abgangsart"
"04.03.2009 12:24:25";"Abgangsart"
"04.03.2009 12:24:32";"Abgangsart"
"04.03.2009 12:30:37";"Abgangsart"
"04.03.2009 12:31:15";"Abgangsart"
"04.03.2009 12:31:34";"Abgangsart"
"04.03.2009 12:32:08";"Abgangsart"
"04.03.2009 12:32:22";"Abgangsart"
"04.03.2009 12:32:42";"Abgangsart"
"04.03.2009 12:32:51";"Abgangsart"
"04.03.2009 12:33:00";"Abgangsart"
"04.03.2013 15:27:30";"ZulKuArt"
"04.03.2015 10:18:02";"Gliederung"
"04.03.2021 17:14:47";"Fachklasse"
"04.04.2014 12:24:46";"Abgangsart"
"04.04.2014 12:48:26";"Fachklasse"
"04.04.2018 17:20:00";"ZulFächer"
"04.04.2019 13:26:46";"Gliederung"
"04.04.2022 13:12:23";"ZulKuArt"
"04.05.2009 09:40:38";"ZulJahrgänge_Kurzbez"
"04.05.2009 09:41:03";"ZulJahrgänge_Kurzbez"
"04.05.2009 09:41:11";"ZulJahrgänge_Kurzbez"
"04.05.2009 09:41:30";"ZulJahrgänge_Kurzbez"
